variable,carrier,sector,product,region,model,scenario,source,unit,comment,2020
Emissions Intensity|CH4|Aircraft,CH4,Aircraft,NOx,World,,,"Soler (2020), Role of E-fuels in European Transport Sytem - literature Review https://www.concawe.eu/wp-content/uploads/Rpt_19-14.pdf",,Synthetic methane not envisaged as an aviation fuel - Have not found estimates of emissions factors from synthetic methane in aviation,0
Emissions Intensity|CH4|Transportation Sector,CH4,Transportation Sector,NOx,World,,,"https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf S3.19 (Footnote 11) Notes that the ratio of N2O/NOx emissions suggested in the literature is 0.1-0.25 (Lipmann and
Delucchi, 2002 and Behrentz, 2003)",kg NOx/TJ,Same as CNG. Wide range depending on vehicle type (see eg EU road vehicle emissions factors https://www.eea.europa.eu/publications/emep-eea-guidebook-2019/part-b-sectoral-guidance-chapters/1-energy/1-a-combustion/road-transport-appendix-4-emission/view),0.25
Emissions Intensity|Synthetic Fuels|International Shipping,Synthetic Fuels,International Shipping,NOx,World,,,"Based on De Vries (2019) and email exchange with author for Methanol, and Timko et al (2011) doi.org/10.4271/2003-01-0763 and Alleman and McCormick (2003) https://doi.org/10.4271/2003-01-0763",kg NOx / MWh,"Based on De Vries (2019) and email exchange with author for Methanol. This range is not inconsistent with range from other sources for other applications eg Allen & McCormick (2003) literature review finds average NOx exhaust emissions from FT fuels are 13% lower than for conventional diesel, noting that the emissions levels are very engine dependent",2.4
Emissions Intensity|Synthetic Fuels|Energy Sector,Synthetic Fuels,Energy Sector,NOx,World,,,No source,kg NOx / MWh,"Further research required. Limited information on synthetic fuels in power generation. NOx likely to depend on fuel. Ommitted from this study given IEA WEO (2021) scenarios not projecting material SF for power generation to 2050. NOx emissions from FT fuels are not substantially different from LNG fuels according to some studies. Timko et al (2011)https://doi.org/10.1080/00102202.2011.581717 finds NOx emissions are reduced by 10% (100% FT fuel) and 5% (50% FT fuel blend), Braun-Unkhoff et al. (2018) DOI 10.1007/s13272-016-0230-3. Styring et al (2021) finds dimethylether",0
Emissions Intensity|Synthetic Fuels|Aircraft,Synthetic Fuels,Aircraft,NOx,World,,,"https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf, Table 3.6.5 and Timko et al. (2011) https://doi.org/10.1080/00102202.2011.581717",kg NOx/TJ,"NOx emissions from FT fuels are not substantially different from jet fuels according to some studies. Timko et al (2011) finds NOx emissions are reduced by 10% (100% FT fuel) and 5% (50% FT fuel blend), Braun-Unkhoff et al. (2018) DOI 10.1007/s13272-016-0230-3https://doi.org/10.1080/00102202.2011.581717",225
Emissions Intensity|Synthetic Fuels|Transportation Sector,Synthetic Fuels,Transportation Sector,NOx,World,,,Timko et al (2011) doi.org/10.4271/2003-01-0763 and Alleman and McCormick (2003) https://doi.org/10.4271/2003-01-0763 and IPCC (2006) https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf,kg NOx/TJ,NOx emissions from FT-Diesel fuels are on average 13% lower compared to conventional diesel fuels (Alleman and McCormick (2003)). So adopting a 13% reduction on IPCC diesel road transport default emissions factors (where consistent with sectino 3.19 footnote 11 NOx is generally 0.1-0.25 of N2O emissions),0.5
Emissions Intensity|H2|International Shipping,H2,International Shipping,H2,World,,,"https://www.nrel.gov/docs/fy14osti/60528.pdf, Osman et al (2021) https://doi.org/10.1007/s10311-021-01322-8, and Atilhan et al (2021), and Al Ghafri et al (2022) https://doi.org/10.3390/en15031149",,No H2 emissions from combustion,0
Emissions Intensity|H2|Energy Sector,H2,Energy Sector,H2,World,,,"https://www.nrel.gov/docs/fy14osti/60528.pdf, Osman et al (2021) https://doi.org/10.1007/s10311-021-01322-8, and Atilhan et al (2021), and Al Ghafri et al (2022) https://doi.org/10.3390/en15031149",,No H2 emissions from combustion,0
Emissions Intensity|H2|Aircraft,H2,Aircraft,H2,World,,,"https://www.nrel.gov/docs/fy14osti/60528.pdf, Osman et al (2021) https://doi.org/10.1007/s10311-021-01322-8, and Atilhan et al (2021), and Al Ghafri et al (2022) https://doi.org/10.3390/en15031149",,No H2 emissions from combustion,0
Emissions Intensity|H2|Transportation Sector,H2,Transportation Sector,H2,World,,,"https://www.nrel.gov/docs/fy14osti/60528.pdf, and Popa et al. 2022 https://doi.org/10.1016/j.atmosenv.2015.03.022",,No H2 emissions from combustion,0
Emissions Intensity|NH3|International Shipping,NH3,International Shipping,H2,World,,,"https://www.nrel.gov/docs/fy14osti/60528.pdf, Osman et al (2021) https://doi.org/10.1007/s10311-021-01322-8, and Atilhan et al (2021), and Al Ghafri et al (2022) https://doi.org/10.3390/en15031149",,No H2 emissions from combustion,0
Emissions Intensity|NH3|Energy Sector,NH3,Energy Sector,H2,World,,,"https://www.nrel.gov/docs/fy14osti/60528.pdf, Osman et al (2021) https://doi.org/10.1007/s10311-021-01322-8, and Atilhan et al (2021), and Al Ghafri et al (2022) https://doi.org/10.3390/en15031149",,No H2 emissions from combustion,0
Emissions Intensity|NH3|Aircraft,NH3,Aircraft,H2,World,,,"https://www.nrel.gov/docs/fy14osti/60528.pdf, Osman et al (2021) https://doi.org/10.1007/s10311-021-01322-8, and Atilhan et al (2021), and Al Ghafri et al (2022) https://doi.org/10.3390/en15031149",,No H2 emissions from combustion,0
Emissions Intensity|NH3|Transportation Sector,NH3,Transportation Sector,H2,World,,,"https://www.nrel.gov/docs/fy14osti/60528.pdf, Osman et al (2021) https://doi.org/10.1007/s10311-021-01322-8, and Atilhan et al (2021), and Al Ghafri et al (2022) https://doi.org/10.3390/en15031149",,No H2 emissions from combustion,0
Emissions Intensity|CH4|International Shipping,CH4,International Shipping,H2,World,,,"https://www.nrel.gov/docs/fy14osti/60528.pdf, Osman et al (2021) https://doi.org/10.1007/s10311-021-01322-8, and Atilhan et al (2021), and Al Ghafri et al (2022) https://doi.org/10.3390/en15031149",,No H2 emissions from combustion,0
Emissions Intensity|CH4|Energy Sector,CH4,Energy Sector,H2,World,,,"https://www.nrel.gov/docs/fy14osti/60528.pdf, Osman et al (2021) https://doi.org/10.1007/s10311-021-01322-8, and Atilhan et al (2021), and Al Ghafri et al (2022) https://doi.org/10.3390/en15031149",,No H2 emissions from combustion,0
Emissions Intensity|CH4|Aircraft,CH4,Aircraft,H2,World,,,"https://www.nrel.gov/docs/fy14osti/60528.pdf, Osman et al (2021) https://doi.org/10.1007/s10311-021-01322-8, and Atilhan et al (2021), and Al Ghafri et al (2022) https://doi.org/10.3390/en15031149",,No H2 emissions from combustion,0
Emissions Intensity|CH4|Transportation Sector,CH4,Transportation Sector,H2,World,,,"https://www.nrel.gov/docs/fy14osti/60528.pdf, Osman et al (2021) https://doi.org/10.1007/s10311-021-01322-8, and Atilhan et al (2021), and Al Ghafri et al (2022) https://doi.org/10.3390/en15031149",,No H2 emissions from combustion,0
Emissions Intensity|Synthetic Fuels|International Shipping,Synthetic Fuels,International Shipping,H2,World,,,"https://www.nrel.gov/docs/fy14osti/60528.pdf, Osman et al (2021) https://doi.org/10.1007/s10311-021-01322-8, and Atilhan et al (2021), and Al Ghafri et al (2022) https://doi.org/10.3390/en15031149",,No H2 emissions from combustion,0
Emissions Intensity|Synthetic Fuels|Energy Sector,Synthetic Fuels,Energy Sector,H2,World,,,"https://www.nrel.gov/docs/fy14osti/60528.pdf, Osman et al (2021) https://doi.org/10.1007/s10311-021-01322-8, and Atilhan et al (2021), and Al Ghafri et al (2022) https://doi.org/10.3390/en15031149",,No H2 emissions from combustion,0
Emissions Intensity|Synthetic Fuels|Aircraft,Synthetic Fuels,Aircraft,H2,World,,,"https://www.nrel.gov/docs/fy14osti/60528.pdf, Osman et al (2021) https://doi.org/10.1007/s10311-021-01322-8, and Atilhan et al (2021), and Al Ghafri et al (2022) https://doi.org/10.3390/en15031149",,No H2 emissions from combustion,0
Emissions Intensity|Synthetic Fuels|Transportation Sector,Synthetic Fuels,Transportation Sector,H2,World,,,"https://www.nrel.gov/docs/fy14osti/60528.pdf, Osman et al (2021) https://doi.org/10.1007/s10311-021-01322-8, and Atilhan et al (2021), and Al Ghafri et al (2022) https://doi.org/10.3390/en15031149",,No H2 emissions from combustion,0
Emissions Intensity|H2|Energy Sector,H2,Energy Sector,CH4,World,,,N/A,,CH4 not produced in H2 (or H2/NH3 blend) combution. Assume CH4 emissions from co-firing with CH4 are attributable to the CH4 portion,0
Emissions Intensity|H2|Aircraft,H2,Aircraft,CH4,World,,,N/A,,CH4 not produced in H2 (or H2/NH3 blend) combution,0
Emissions Intensity|H2|Transportation Sector,H2,Transportation Sector,CH4,World,,,N/A,,CH4 not produced in H2 (or H2/NH3 blend) combution,0
Emissions Intensity|NH3|International Shipping,NH3,International Shipping,CH4,World,,,N/A,,CH4 not produced in H2 (or H2/NH3 blend) combution,0
Emissions Intensity|NH3|Energy Sector,NH3,Energy Sector,CH4,World,,,N/A,,CH4 not produced in NH3 (or H2/NH3 blend) combution. Assume CH4 emissions from co-firing with CH4 are attributable to the CH4 portion,0
Emissions Intensity|NH3|Aircraft,NH3,Aircraft,CH4,World,,,N/A,,CH4 not produced in NH3 (or H2/NH3 blend) combution,0
Emissions Intensity|NH3|Transportation Sector,NH3,Transportation Sector,CH4,World,,,N/A,,CH4 not produced in NH3 (or H2/NH3 blend) combution,0
Emissions Intensity|CH4|International Shipping,CH4,International Shipping,CH4,World,,,"Lowed bound is from Table 3 Pavlenko (2020) https://theicct.org/sites/default/files/publications/Climate_implications_LNG_marinefuel_01282020.pdf , and upper bound is from Lindstad (2020) http://dx.doi.org/10.3390/su12218793 (for a 4 stroke engine) supported by de Vries - email exchange with author",g CH4/MJ,"Drawing on studies rather than IPCC defaults as conversion to LNG for maritime has been relatively receent. Value cited is for 4 Stroke engine (consistent with Pavlenko (2020) view on likely uptake), but different engines and fuel types give different emissions factors from eg -0.25 g/KWh for a 2 stroke dual fuel to 5.5g/Kwh for a 4 stroke dual fuel)",0.02
Emissions Intensity|CH4|Energy Sector,CH4,Energy Sector,CH4,World,,,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf Table 2.2,kg CH4/TJ,Combustion emissions are same as natural gas . Use default values from IPCC (2006). Uncertainty range is 0.3-3.0 and default is 1. High emissions factor uses upper bound of range and low emissions factor is the default,1
Emissions Intensity|CH4|Aircraft,CH4,Aircraft,CH4,World,,,"Soler (2020), Role of E-fuels in European Transport Sytem - literature Review https://www.concawe.eu/wp-content/uploads/Rpt_19-14.pdf,",,Synthetic methane not envisaged as an aviation fuel in IEA WEO (2021) so omitted from this study,0
Emissions Intensity|CH4|Transportation Sector,CH4,Transportation Sector,CH4,World,,,"https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf (Table 3.2.2 - noting wide uncertainty range (50-1540 kg/TJ) - s3.23), and Moritz Mottschall (2020) https://theicct.org/sites/default/files/publications/LNG-in-trucks_May2020.pdf",kg CH4/TJ,"Sames as natural gas. Default value is used, but uncertainty range is high (Lower bound 50, Upper bound 1,540)",50
Emissions Intensity|Synthetic Fuels|International Shipping,Synthetic Fuels,International Shipping,CH4,World,,,,g CH4/MJ,CH4 and N20 emissions from synthetic fuel depend on the fuel type and vehicle and are highly uncertain. This is true also for the fossil fuels they replace see IPCC (2006) discussion regarding default emissions factors. CH30H is considered a likely synthetic fuel for maritime transport and will not emit CH4 when combusted (De Vries 2019 and email exchanges with the author),0
Emissions Intensity|Synthetic Fuels|Energy Sector,Synthetic Fuels,Energy Sector,CH4,World,,,-,,Likely to depend on specific fuel. Further research required. Not included in this study given they will not impact results because SF is not projected to be material source of fuel for stationary energy in IEA WEO 2021 scenarios,0
Emissions Intensity|Synthetic Fuels|Aircraft,Synthetic Fuels,Aircraft,CH4,World,,,"https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf s 3.56, Table 3.6.5 Default value for all fuels, noting wide uncertainty range (-57% to +100%)",kg CH4/TJ,"CH4 and N20 emissions from synthetic fuel depend on the fuel type and vehicle and are highly uncertain. This is true also for the fossil fuels they replace see IPCC (2006) discussion regarding default emissions factors.But aviation fuels and modern engines emit little or no N20 or CH4 (IPCC Guidelines (2006) p 3.56, so this is used as the default low scenario, given no such emissions are discussed by Timko (2011) or Yusaf et al (2022) in relation to synthetic fuels",0
Emissions Intensity|Synthetic Fuels|Transportation Sector,Synthetic Fuels,Transportation Sector,CH4,World,,,-,,Likely to depend on specific fuel. Further research required. Not included in this study given they will not impact results because SF is not projected to be material source of fuel for stationary energy in IEA WEO 2021 scenarios,0
Emissions Intensity|H2|International Shipping,H2,International Shipping,N2O,World,,,,,No tail pipe emissions if H2 from Fuel Cell. If in a NH3/H2 blend the N20 emissions are all atrributed to NH3,0
Emissions Intensity|H2|Energy Sector,H2,Energy Sector,N2O,World,,,None at this stage,,"N20 can be an issue in H2 combustion when other gases, including N2O or NH3 are added to the flame to control combustion temperatures See Razus et al (2022) https://doi.org/10.3390/pr10051032. This remains an issue for further research in practical H2 combustion conditions. .",0
Emissions Intensity|H2|Aircraft,H2,Aircraft,N2O,World,,,,,If from Fuel Cell,0
Emissions Intensity|H2|Transportation Sector,H2,Transportation Sector,N2O,World,,,,,If from Fuel Cell,0
Emissions Intensity|NH3|International Shipping,NH3,International Shipping,N2O,World,,,"Fridell et al 2020 https://www.diva-portal.org/smash/get/diva2:1601021/FULLTEXT01.pdf and Pavlenko et al (2020) table 3 and table 4, which is sourced to GREET (2018) and gives similar estimates to De Vries (2019) and email exchange with author https://repository.tudelft.nl/islandora/object/uuid:be8cbe0a-28ec-4bd9-8ad0-648de04649b8?collection=education",kg N2O/TJ,Expected to be similar to Marine Gas Oil but further research required,3.9
Emissions Intensity|NH3|Energy Sector,NH3,Energy Sector,N2O,World,,,"Lower bound: https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf, table 2.2 value for coal. Upper bound: Mashruk et al 2022 https://doi.org/10.1016/j.combustflame.2022.112299",kg N2O/TJ,"Wide range possible from below detection level (Ito et al 2019) to many times higher Mashruk et al 2022, depending on combustion conditions",1.5
Emissions Intensity|NH3|Aircraft,NH3,Aircraft,N2O,World,,,-,,"If from fuel cell, further research required",0
Emissions Intensity|NH3|Transportation Sector,NH3,Transportation Sector,N2O,World,,,-,,"If from fuel cell, further research required",0
Emissions Intensity|CH4|International Shipping,CH4,International Shipping,N2O,World,,,"Lower bound is based on Pavlenko (2020) https://theicct.org/sites/default/files/publications/Climate_implications_LNG_marinefuel_01282020.pdf table 3 - sourced to GREET (2018). Upper bound is based on ratio of N2O from CH4 compared to MGO in email exchange with de Vries in May 2022, and Fridell et al 2020 https://www.diva-portal.org/smash/get/diva2:1601021/FULLTEXT01.pdf) estimates of emissions from international shipping",kg N2O/TJ,,1.6
Emissions Intensity|CH4|Energy Sector,CH4,Energy Sector,N2O,World,,,"https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf, table 2.2 ",kg N2O/TJ,"IPCC Emissions Factors for N20 from natural gas combustion Tier 1 Emission Factor - noting there is a wide range (0.03-0.3), The high case adopts the top of this range and the low adopts the default",0.1
Emissions Intensity|CH4|Aircraft,CH4,Aircraft,N2O,World,,,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf,,CH4 Not used for aviation so emissions factors are not available. Ommitted from this study given IEA WE (2021) not projecting e-CH4 as aviation fuel,0
Emissions Intensity|CH4|Transportation Sector,CH4,Transportation Sector,N2O,World,,,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf,kg N2O/TJ,N2O default emissions for natural gas used - noting these are depend on the vehicle and there is a wide range (1-77),1
Emissions Intensity|Synthetic Fuels|International Shipping,Synthetic Fuels,International Shipping,N2O,World,,,"Pavlenko et al (2020) table 3 and table 4, which is sourced to GREET (2018) and gives similar estimates to De Vries (2019) and email exchange with author https://repository.tudelft.nl/islandora/object/uuid:be8cbe0a-28ec-4bd9-8ad0-648de04649b8?collection=education",g N2O/MJ,"CH4 and N20 emissions from synthetic fuel depend on the fuel type and vehicle and are highly uncertain. This is true also for the fossil fuels they replace see IPCC (2006) discussion regarding default emissions factors. CH30H is considered a likely synthetic fuel for maritime transport may emit similar N2O as marine gas oil (De Vries 2019 and email exchanges with the author), but further research is needed.",0
Emissions Intensity|Synthetic Fuels|Energy Sector,Synthetic Fuels,Energy Sector,N2O,World,,,-,,CH4 and N20 emissions from synthetic fuel depend on the fuel type and vehicle and are highly uncertain.Ommitted from this study given IEA WEO (2021) is not projecting material use of SF for stationary energy,0
Emissions Intensity|Synthetic Fuels|Aircraft,Synthetic Fuels,Aircraft,N2O,World,,,"https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf s 3.56, Table 3.6.5 Default value for all fuels, noting wide uncertainty range (-70%-+150%)",kg N2O/TJ,"Dawood, F.; Anda, M.; Shafiullah, G. Hydrogen production for energy: An overview.",2
Emissions Intensity|Synthetic Fuels|Transportation Sector,Synthetic Fuels,Transportation Sector,N2O,World,,,"https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf Table 3.2.2 Upper bound is default value for diesel, lower bound is dimethyl ether (0) from Styring et al (2021)",kg N2O/TJ,"NOx from SF will vary by fuel - estimate of practically 0 is for dimethylether (Styring et al 2021) but some synthetic petrol emit similar NOx to fossil petrol alternatives (T & E) , and synthetic diesel may emit ~13% less NOx than conventional diesel (Alleman & McCormack (2003))",0
Emissions Intensity|H2|International Shipping,H2,International Shipping,NH3,World,,,NA,,No NH3 produced from H2 combustion,0
Emissions Intensity|H2|Energy Sector,H2,Energy Sector,NH3,World,,,NA,,No NH3 produced from H2 combustion,0
Emissions Intensity|H2|Aircraft,H2,Aircraft,NH3,World,,,NA,,No NH3 produced from H2 combustion,0
Emissions Intensity|H2|Transportation Sector,H2,Transportation Sector,NH3,World,,,NA,,No NH3 produced from H2 combustion,0
Emissions Intensity|NH3|International Shipping,NH3,International Shipping,NH3,World,,,NA,,NH3 from incomplete combustion is treated as leakage,0
Emissions Intensity|NH3|Energy Sector,NH3,Energy Sector,NH3,World,,,NA,,NH3 from incomplete combustion is treated as leakage,0
Emissions Intensity|NH3|Aircraft,NH3,Aircraft,NH3,World,,,NA,,NH3 from incomplete combustion is treated as leakage,0
Emissions Intensity|NH3|Transportation Sector,NH3,Transportation Sector,NH3,World,,,NA,,NH3 from incomplete combustion is treated as leakage,0
Emissions Intensity|CH4|International Shipping,CH4,International Shipping,NH3,World,,,NA,,No NH3 produced from CH4 combustion,0
Emissions Intensity|CH4|Energy Sector,CH4,Energy Sector,NH3,World,,,NA,,No NH3 produced from CH4 combustion,0
Emissions Intensity|CH4|Aircraft,CH4,Aircraft,NH3,World,,,NA,,No NH3 produced from CH4 combustion,0
Emissions Intensity|CH4|Transportation Sector,CH4,Transportation Sector,NH3,World,,,NA,,No NH3 produced from CH4 combustion,0
Emissions Intensity|Synthetic Fuels|International Shipping,Synthetic Fuels,International Shipping,NH3,World,,,NA,,NH3 unlikely to be produced from SF combustion,0
Emissions Intensity|Synthetic Fuels|Energy Sector,Synthetic Fuels,Energy Sector,NH3,World,,,NA,,NH3 unlikely to be produced from SF combustion,0
Emissions Intensity|Synthetic Fuels|Aircraft,Synthetic Fuels,Aircraft,NH3,World,,,NA,,NH3 unlikely to be produced from SF combustion,0
Emissions Intensity|Synthetic Fuels|Transportation Sector,Synthetic Fuels,Transportation Sector,NH3,World,,,NA,,NH3 unlikely to be produced from SF combustion,0
